REF_DATE,GEO,DGUID,Level of study,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2007/2008,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,10777,,,,0
2007/2008,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,19995,,,,0
2007/2008,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,19599,,,,0
2007/2008,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4154,,,,0
2007/2008,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,5844,,,,0
2007/2008,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,10740,,,,0
2007/2008,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,11047,,,,0
2007/2008,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6369,,,,0
2007/2008,Saskatchewan,2016A000247,Canadian graduate,Constant dollars,370,units,0,v1411954058,9.2,4487,,,,0
2007/2008,Saskatchewan,2016A000247,International undergraduate,Constant dollars,370,units,0,v1411954059,9.3,12959,,,,0
2007/2008,Saskatchewan,2016A000247,International graduate,Constant dollars,370,units,0,v1411954060,9.4,4719,,,,0
2007/2008,Alberta,2016A000248,Canadian undergraduate,Constant dollars,370,units,0,v1411954061,10.1,6505,,,,0
2007/2008,Alberta,2016A000248,Canadian graduate,Constant dollars,370,units,0,v1411954062,10.2,7810,,,,0
2007/2008,Alberta,2016A000248,International undergraduate,Constant dollars,370,units,0,v1411954063,10.3,16902,,,,0
2007/2008,Alberta,2016A000248,International graduate,Constant dollars,370,units,0,v1411954064,10.4,14305,,,,0
2007/2008,British Columbia,2016A000259,Canadian undergraduate,Constant dollars,370,units,0,v1411954065,11.1,6251,,,,0
2007/2008,British Columbia,2016A000259,Canadian graduate,Constant dollars,370,units,0,v1411954066,11.2,8167,,,,0
2007/2008,British Columbia,2016A000259,International undergraduate,Constant dollars,370,units,0,v1411954067,11.3,20907,,,,0
2007/2008,British Columbia,2016A000259,International graduate,Constant dollars,370,units,0,v1411954068,11.4,17622,,,,0
2008/2009,Canada,2016A000011124,Canadian undergraduate,Constant dollars,370,units,0,v1411954025,1.1,5891,,,,0
2008/2009,Canada,2016A000011124,Canadian graduate,Constant dollars,370,units,0,v1411954026,1.2,7120,,,,0
2008/2009,Canada,2016A000011124,International undergraduate,Constant dollars,370,units,0,v1411954027,1.3,18156,,,,0
2008/2009,Canada,2016A000011124,International graduate,Constant dollars,370,units,0,v1411954028,1.4,15310,,,,0
2008/2009,Newfoundland and Labrador,2016A000210,Canadian undergraduate,Constant dollars,370,units,0,v1411954029,2.1,3250,,,,0
2008/2009,Newfoundland and Labrador,2016A000210,Canadian graduate,Constant dollars,370,units,0,v1411954030,2.2,3032,,,,0
2008/2009,Newfoundland and Labrador,2016A000210,International undergraduate,Constant dollars,370,units,0,v1411954031,2.3,11569,,,,0
2008/2009,Newfoundland and Labrador,2016A000210,International graduate,Constant dollars,370,units,0,v1411954032,2.4,3456,,,,0
2008/2009,Prince Edward Island,2016A000211,Canadian undergraduate,Constant dollars,370,units,0,v1411954033,3.1,5622,,,,0
2008/2009,Prince Edward Island,2016A000211,Canadian graduate,Constant dollars,370,units,0,v1411954034,3.2,3307,,,,0
2008/2009,Prince Edward Island,2016A000211,International undergraduate,Constant dollars,370,units,0,v1411954035,3.3,11095,,,,0
2008/2009,Prince Edward Island,2016A000211,International graduate,Constant dollars,370,units,0,v1411954036,3.4,7630,,,,0
2008/2009,Nova Scotia,2016A000212,Canadian undergraduate,Constant dollars,370,units,0,v1411954037,4.1,7293,,,,0
2008/2009,Nova Scotia,2016A000212,Canadian graduate,Constant dollars,370,units,0,v1411954038,4.2,9598,,,,0
2008/2009,Nova Scotia,2016A000212,International undergraduate,Constant dollars,370,units,0,v1411954039,4.3,15395,,,,0
2008/2009,Nova Scotia,2016A000212,International graduate,Constant dollars,370,units,0,v1411954040,4.4,17986,,,,0
2008/2009,New Brunswick,2016A000213,Canadian undergraduate,Constant dollars,370,units,0,v1411954041,5.1,6800,,,,0
2008/2009,New Brunswick,2016A000213,Canadian graduate,Constant dollars,370,units,0,v1411954042,5.2,6292,,,,0
2008/2009,New Brunswick,2016A000213,International undergraduate,Constant dollars,370,units,0,v1411954043,5.3,13618,,,,0
2008/2009,New Brunswick,2016A000213,International graduate,Constant dollars,370,units,0,v1411954044,5.4,11120,,,,0
2008/2009,Quebec,2016A000224,Canadian undergraduate,Constant dollars,370,units,0,v1411954045,6.1,2705,,,,0
2008/2009,Quebec,2016A000224,Canadian graduate,Constant dollars,370,units,0,v1411954046,6.2,2754,,,,0
2008/2009,Quebec,2016A000224,International undergraduate,Constant dollars,370,units,0,v1411954047,6.3,16376,,,,0
2008/2009,Quebec,2016A000224,International graduate,Constant dollars,370,units,0,v1411954048,6.4,14081,,,,0
2008/2009,Ontario,2016A000235,Canadian undergraduate,Constant dollars,370,units,0,v1411954049,7.1,7033,,,,0
2008/2009,Ontario,2016A000235,Canadian graduate,Constant dollars,370,units,0,v1411954050,7.2,10246,,,,0
2008/2009,Ontario,2016A000235,International undergraduate,Constant dollars,370,units,0,v1411954051,7.3,20962,,,,0
2008/2009,Ontario,2016A000235,International graduate,Constant dollars,370,units,0,v1411954052,7.4,18966,,,,0
2008/2009,Manitoba,2016A000246,Canadian undergraduate,Constant dollars,370,units,0,v1411954053,8.1,4018,,,,0
2008/2009,Manitoba,2016A000246,Canadian graduate,Constant dollars,370,units,0,v1411954054,8.2,4722,,,,0
2008/2009,Manitoba,2016A000246,International undergraduate,Constant dollars,370,units,0,v1411954055,8.3,12025,,,,0
2008/2009,Manitoba,2016A000246,International graduate,Constant dollars,370,units,0,v1411954056,8.4,9895,,,,0
2008/2009,Saskatchewan,2016A000247,Canadian undergraduate,Constant dollars,370,units,0,v1411954057,9.1,6285,,,,0
